Values filename,date and time,FIREBIRD Unit,POES / MetOp,FB >100 keV (E2) equivlent counts,FB >300 keV (E3) equivalent counts,FB >600 keV (P6) equivalent counts,POES 0 deg > 100 keV (E2),POES 0 deg > 300 keV (E3),POES 0 deg >600 keV (P6),POES 90 deg (E2),POES 90 deg (E3),POES 90 deg (P6),geo mean (E2),geo mean (E3),geo mean (P6),MLT,hemisphere
20180803_2,8/3/18 2:55,3,n15,8.43,3.98,0.65,2.6,1.53,1.14,368.05,228.5,21.88,30.44,18.12,5.48,1,S
20180803_12,8/3/18 12:51,4,m01,0.52,0.25,0.01,1.9,1.14,1,2.75,13.7,2.25,13.05,4.34,1.81,1,N
20180804_0,8/4/18 0:48,4,n15,4.21,1.76,0.22,2,1.5,1.37,427.5,112.5,11.92,20.26,12.67,4.39,1,S
20180804_19,8/4/18 19:13,3,m01,0.58,0.23,0.02,2.2,2,1.1,106.29,40.04,4.16,14.3,8.54,2.25,1,N
20180805,8/5/18 18:54,3,m01,2,0.15,0.01,2.11,1.42,1,48.12,17.5,2.08,8.92,4.38,1.13,1,N
20180805_19,8/5/18 19:44,3,m01,2.46,0.85,0.08,1.76,1.27,1,112.31,43.71,7.00E+00,14,7.42,2.76,1,S
20180806,8/6/18 21:04,3,m01,2.56,1.16,0.25,2.06,1.46,1.81,129.55,63.23,10.23,15.8,9.47,4.23,1,S
20180812,8/12/18 2:54,3,m01,1.59,0.13,0,2.33,2.66,1.42,35.37,2.66,0.83,15.4,2.83,1.24,1,S
20180817,8/17/18 2:52,4,m01,17.66,2.84,0.06,2.92,1.62,1.125,1983.5,470.9,5.21,70.08,26.73,2.42,1,N
20180821,8/21/18 7:23,4,m01,29.25,6.29,0.18,3,1.91,1.37,2368.38,697.72,24.86,81.35,36.03,5.63,1,S
20180918_1,9/18/18 1:36,4,m02,45.49,21.43,3.41,5.66,3.18,6.25,2740.83,1476.83,106.33,122.31,65.53,25.17,1,S
20180918_2,9/18/18 2:24,4,m02,15.46,5.07,0.3,2.14,2.66,1.66,1055.5,475.78,14.4,46.05,27.08,4.39,1,N
20180918_6,9/18/18 6:39,3,m02,21.66,9.38,1.14,2.47,1.85,2.64,1752.38,990.61,55.72,63.18,40.93,11.93,1,S
20180918_22,9/18/18 22:20,4,n15,8.89,3.67,0.37,4.23,1.75,4.3,2041.78,833.78,97.42,91.2,37.14,20.04,1,S
20180919_2,9/19/18 2:56,4,m02,14.27,5.49,0.48,3.85,2.36,4.64,2239.5,1005.78,71.1,89.75,48.08,17.4,1,S
20180919_7,9/19/18 7:09,3,m02,11.29,3.9,0.27,3.5,1.9,1.22,1061.21,510.07,42.17,58.72,29.56,7.52,1,N
