date time, L, E0 equiv, E1 equiv, E2 equiv, P6 equiv
2018-12-31 07:20:00.048000, 3.26, nan, nan, nan, nan
2018-12-31 07:20:01.048000, 3.27, nan, nan, nan, nan
2018-12-31 07:20:02.048000, 3.28, nan, nan, nan, nan
2018-12-31 07:20:03.048000, 3.29, nan, nan, nan, nan
2018-12-31 07:20:04.048000, 3.3, nan, nan, nan, nan
2018-12-31 07:20:05.048000, 3.31, nan, nan, nan, nan
2018-12-31 07:20:06.048000, 3.33, nan, nan, nan, nan
2018-12-31 07:20:07.048000, 3.34, nan, nan, nan, nan
2018-12-31 07:20:08.048000, 3.35, nan, nan, nan, nan
2018-12-31 07:20:09.048000, 3.36, nan, nan, nan, nan
2018-12-31 07:20:10.048000, 3.37, nan, nan, nan, nan
2018-12-31 07:20:11.048000, 3.38, nan, nan, nan, nan
2018-12-31 07:20:12.048000, 3.39, nan, nan, nan, nan
2018-12-31 07:20:13.048000, 3.41, nan, nan, nan, nan
2018-12-31 07:20:14.048000, 3.42, nan, nan, nan, nan
2018-12-31 07:20:15.048000, 3.43, nan, nan, nan, nan
2018-12-31 07:20:16.048000, 3.44, nan, nan, nan, nan
2018-12-31 07:20:17.048000, 3.45, nan, nan, nan, nan
2018-12-31 07:20:18.048000, 3.47, nan, nan, nan, nan
2018-12-31 07:20:19.048000, 3.48, nan, nan, nan, nan
2018-12-31 07:20:20.048000, 3.49, nan, nan, nan, nan
2018-12-31 07:20:21.048000, 3.5, nan, nan, nan, nan
2018-12-31 07:20:22.048000, 3.51, nan, nan, nan, nan
2018-12-31 07:20:23.048000, 3.53, nan, nan, nan, nan
2018-12-31 07:20:24.048000, 3.54, nan, nan, nan, nan
2018-12-31 07:20:25.048000, 3.55, nan, nan, nan, nan
2018-12-31 07:20:26.048000, 3.57, nan, nan, nan, nan
2018-12-31 07:20:27.048000, 3.58, nan, nan, nan, nan
2018-12-31 07:20:28.048000, 3.59, 0.5823882799221656, 0.44388838678645404, 0.1592197344676373, 0.011099681585745898
2018-12-31 07:20:29.048000, 3.6, 0.36623037012047605, 0.3116860143715676, 0.15231773680853428, 0.028496689566641142
2018-12-31 07:20:30.048000, 3.62, 1.1331890969207716, 0.9226181104538536, 0.40462548112994456, 0.048956561751476765
2018-12-31 07:20:31.048000, 3.63, 0.908474711680799, 0.8547778309502049, 0.3974472636576051, 0.34381103364786936
2018-12-31 07:20:32.048000, 3.65, 1.8017653050246119, 1.4167443023857247, 0.5611365755419805, 0.050124043017038114
2018-12-31 07:20:33.048000, 3.66, 1.6930784389312403, 1.3586712716287652, 0.5719599183172629, 0.06078718002140646
2018-12-31 07:20:34.048000, 3.67, 3.356161210261638, 2.2725041477493853, 0.5389531591932492, 0.017360890532274856
2018-12-31 07:20:35.048000, 3.69, 2.8084759288859518, 2.2521571490813774, 0.9461297792099141, 0.09992737256568504
2018-12-31 07:20:36.048000, 3.7, 4.308006559289742, 3.2586925387802874, 1.1400177422488913, 0.07505019110825682
2018-12-31 07:20:37.048000, 3.71, 3.3541923185161426, 2.6878459115341813, 1.1268044674500861, 0.1182647927030462
2018-12-31 07:20:38.048000, 3.73, 4.394501140245421, 3.316055634281797, 1.1507674546540492, 0.07439938605384805
2018-12-31 07:20:39.048000, 3.74, 4.4825986651746215, 3.4963750243132257, 1.3505413814856926, 0.11290786156898609
2018-12-31 07:20:40.048000, 3.76, 5.4264082905864415, 4.094724568647555, 1.4209881525080337, 0.0918696872324843
2018-12-31 07:20:41.048000, 3.77, 7.783490232205824, 5.741584784607626, 1.8455099947932079, 0.1013218356711414
2018-12-31 07:20:42.048000, 3.79, 5.998025188706582, 4.660721906665475, 1.7789787195522142, 0.14425081760459466
2018-12-31 07:20:43.048000, 3.8, 8.50620130688755, 6.345120328609253, 2.1184240813628232, 0.12588531277148554
2018-12-31 07:20:44.048000, 3.81, 7.009598976937563, 5.553262936458242, 2.2504296325395194, 0.2140832801754362
2018-12-31 07:20:45.048000, 3.83, 5.055256671994714, 4.053882868346479, 1.7030336025778459, 0.1798692706182331
2018-12-31 07:20:46.048000, 3.84, 7.890697945442525, 5.893838924330684, 1.9766273263732328, 0.11859335309136493
2018-12-31 07:20:47.048000, 3.86, 5.722328331709052, 4.479716376356619, 1.7502620991153925, 0.1507595256811866
2018-12-31 07:20:48.048000, 3.87, 5.3842053014714315, 4.301983291890587, 1.7881053417938297, 0.18295668977894536
2018-12-31 07:20:49.048000, 3.89, 5.461573955646982, 4.223076374978749, 1.5869711949855143, 0.12373358678516141
2018-12-31 07:20:50.048000, 3.91, 7.004037844943735, 5.252101683261772, 1.7847827878701654, 0.11017473420232729
2018-12-31 07:20:51.048000, 3.92, 8.095534767394632, 5.770435701137405, 1.6459628328994285, 0.07188813695897704
2018-12-31 07:20:52.048000, 3.94, 5.815064713905696, 4.2769700402144455, 1.3609603838193383, 0.073207385401716
2018-12-31 07:20:53.048000, 3.95, 6.853137069877432, 4.790491786469689, 1.2747633917189765, 0.04933931338015805
2018-12-31 07:20:54.048000, 3.97, 5.762397274038632, 4.04457209625042, 1.0921633842167293, 0.04333444800359489
2018-12-31 07:20:55.048000, 3.98, 4.992251962075964, 3.551875192874442, 1.0065432480016303, 0.043449128703476045
2018-12-31 07:20:56.048000, 4.0, 5.4608890357065, 4.187568874199295, 1.5320745575780799, 0.11191184970998495
2018-12-31 07:20:57.048000, 4.02, 3.791693285521023, 2.87157500953013, 1.0085795957304686, 0.06699506432147903
2018-12-31 07:20:58.048000, 4.03, 4.425116485374432, 3.4385046234490004, 1.3124633210682406, 0.10642280599499808
2018-12-31 07:20:59.048000, 4.05, 5.546428675843272, 4.0092745618072145, 1.2013843525119756, 0.05746666207329658
2018-12-31 07:21:00.048000, 4.07, 7.593797595450389, 5.17970901731496, 1.2616527925569732, 0.04233469904048487
2018-12-31 07:21:01.048000, 4.08, 6.041960568994206, 4.027687211568796, 0.9021718815794716, 0.02671354666376036
2018-12-31 07:21:02.048000, 4.1, 5.942661832880665, 4.196015184612502, 1.1573865986725007, 0.04763481235870678
2018-12-31 07:21:03.048000, 4.12, 5.282524772231639, 3.837410223478089, 1.1698504715925098, 0.057827964498332864
2018-12-31 07:21:04.048000, 4.13, 8.355472656373703, 6.039811549182434, 1.8098374095981413, 0.08657122477708488
2018-12-31 07:21:05.048000, 4.15, 6.386009744035404, 4.836336858156006, 1.6986603717565782, 0.11283379254143834
2018-12-31 07:21:06.048000, 4.17, 9.721129228025712, 6.8092975887891996, 1.8253938258057436, 0.07153680462043234
2018-12-31 07:21:07.048000, 4.19, 8.198562772923026, 6.090748566054944, 2.005596498510351, 0.11575058299214976
2018-12-31 07:21:08.048000, 4.21, 10.313262087068338, 7.253344513648839, 1.9727448445251512, 0.07924152014663076
2018-12-31 07:21:09.048000, 4.22, 8.746107701495996, 6.631577341727243, 2.3383493300173157, 0.15671487994219355
